driverId,driverScore,driveDistanceMeters,driveTimeMilliseconds,count_obstructedCamera,count_mobileUsage,count_noSeatbelt,count_distractedDrivingAutomatic,count_followingDistance,count_drowsy,count_braking,count_defensiveDriving,count_harshTurn,count_crash,scoreImpact_obstructedCamera,scoreImpact_mobileUsage,scoreImpact_noSeatbelt,scoreImpact_distractedDrivingAutomatic,scoreImpact_followingDistance,scoreImpact_drowsy,scoreImpact_braking,scoreImpact_defensiveDriving,scoreImpact_harshTurn,scoreImpact_crash,durationMilliseconds_maxSpeed,scoreImpact_maxSpeed,MaxSpeed_coached,Drowsy_coached,MobileUsage_coached,NoSeatbelt_coached,Braking_coached,ObstructedCamera_coached,DefensiveDriving_coached,HarshTurn_coached,driverName,tagId,tagName,parentTagId,parentTagName,fecha_corte
53682031,28,2532864,134994087,2,4,0,0,0,0,0,0,0,0,-63.53850818677988,-7.624620982413584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317648,-1.1765256058956122,0,0,0,0,0,0,0,0,NARCA,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682053,0,579584,25374374,2,2,6,0,0,0,0,0,0,0,-277.67226148409895,-16.660335689045937,-16.660335689045937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292621,-5.766073283226613,0,0,0,0,0,0,0,0,OLIMAR01,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682061,0,3663704,177453660,5,30,4,0,0,0,1,0,0,0,-109.81673191939089,-39.53402349098071,-1.7570677107102541,0.0,0.0,0.0,-2.196334638387818,0.0,0.0,0.0,4845849,-13.65384348792806,49,0,19,4,0,0,0,0,CERJER,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682169,91,1098260,57539067,0,2,0,0,0,0,0,0,0,0,0.0,-8.792147578897529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,CUAJOR,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682276,0,2911456,130291743,2,0,0,0,8,0,0,0,0,0,-55.27626040029457,0.0,0.0,0.0,-2.2104240327800357,0.0,0.0,0.0,0.0,0.0,22065646,-84.67783718266782,84,0,0,0,0,2,0,0,ZUÑDAV,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682283,96,3562141,176762826,0,2,3,0,0,0,0,0,0,0,0.0,-2.710747272497074,-1.355373636248537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94966,-0.2686254857681445,0,0,0,0,0,0,0,0,AVIEN,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682382,5,2046064,123951296,2,6,3,0,0,0,0,0,0,0,-78.65560412577514,-14.158008742639526,-2.3596681237732544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,REBEF,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53682478,100,317890,39567142,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,BOROSC,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53682501,54,104390,27264818,0,0,3,0,0,0,0,0,0,0,0.0,0.0,-46.24994731296101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,0,0,0,0,IBAJES,6862126,Patieros Crisa,5021095,EC-10,2026-05-17T23:59:59.000000
53682536,86,2378668,111408053,0,7,0,0,0,0,0,0,0,0,0.0,-14.208045847507933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,APODA,4433384,Pipas,4363965,EC-02,2026-05-17T23:59:59.000000
